#,Name,Type,Protoform Utility,Velocity Ability,Clash Power,Clash Defense,AP Cost,Max Energy Pips,Rarity,Wall Breaker,Knockback,Wall Maker,Bridge Maker,AOE Blast,Hazard Maker,Causes Blind,Causes Snare,Causes Shock,Causes Jam,Pierces Walls,Causes Chain,Ricochets,Ultra Fast,Causes Invisible,Causes Fear,Causes Confusion,Trail Wall,Clash Tripled,Cone Blast,Spawns Pods,Mirage Decoy,Star Wall,Anchor Zone
1,Aquabeek,Water,Shoots clean squirts of fresh water for drinking or washing away small debris.,Transforms into a water-dwelling beast that fires high-pressure hydro-cannon streams capable of blasting away heavy objects and extinguishing fires.,4,4,1,12,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Arachnet,Unique,"Spins strong silk strands useful for grappling lines, securing cargo, or tying knots.","Morphs into a giant, multi-eyed spider creature that fires sticky webbing nets, constructs web trampolines, and traps targets.",3,6,2,10,4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,Armashelt,Metal,Deflects minor incoming projectiles off its tough outer shell or acts as a doorstop.,"Transforms into a massive boulder-like organism with impenetrable armor plates, curling into a rolling wrecking ball to demolish fortifications.",6,9,2,8,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,Blastipede,Fire,"Leaves small, benign glowing dots that can mark paths or serve as signal markers.","Transforms into a centipede-like creature that drops explosive landmine nodes across the field, which detonate upon contact or at the slugslinger's command.",5,3,3,6,5,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,Boon Doc,Healing,Emits a soothing light that heals minor cuts and relieves fatigue.,"Morphs into a radiant energy creature that emits pure light waves capable of curing Ghoul Slugs, restoring severe injuries, and purifying dark energy.",1,3,2,8,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,Bubbaleone,Water,"Blows durable, buoyant bubbles that act as soft cushions, floating rafts, or makeshift storage containers.","Transforms into a giant inflated organism that launches massive soapy spheres, trapping enemies inside suffocating bubbles or expanding to absorb heavy kinetic impacts.",3,8,2,10,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Crystalyd,Earth,Focuses ambient light into sharp crystalline beams to mark stone walls.,Morphs into a drill-headed crystalline beast capable of tunneling through solid rock at high speeds and creating vast subterranean networks.,5,5,2,10,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,Diggrix,Earth,Scoops away soft dirt quickly to create small trenches or shelters.,"Morphs into a giant mole-like creature that digs massive trenches, creates tremors, and hurls large boulders at opponents.",4,5,2,8,4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,Dirt Urchin,Earth,"Shoots tiny, soft quills that stick to surfaces, useful for marking trails or setting minor traps.","Morphs into a spiky urchin-like monster that fires barrages of razor-sharp quills, creating hazards on the battlefield and pinning targets to walls.",4,4,1,12,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,Enigmo,Light,Produces a soft aura and aids in locating hidden paths or ancient slug lore.,When fired with another slug significantly boosts their power. Can draw slugs to where it was shot. It can prevent opponent slugs from transforming. ,1,1,2,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
